S, Number, , 0.143
S, Variable, , 0.143
S, Open, Exper_Close, 0.143
S, Factor, PowOp_Primary, 0.143
S, Term, MulOp_Factor, 0.143
S, Expr, AddOp_Term, 0.143
S, AddOp, Term, 0.143
Expr, Number, , 0.143
Expr, Variable, , 0.143
Expr, Open, Exper_Close, 0.143
Expr, Factor, PowOp_Primary, 0.143
Expr, Term, MulOp_Factor, 0.143
Expr, Expr, AddOp_Term, 0.143
Expr, AddOp, Term, 0.143
Term, Number, , 0.2
Term, Variable, , 0.2
Term, Open, Exper_Close, 0.2
Term, Factor, PowOp_Primary, 0.2
Term, Term, MulOp_Factor, 0.2
Factor, Number, , 0.25
Factor, Variable, , 0.25
Factor, Open, Exper_Close, 0.25
Factor, Factor, PowOp_Primary, 0.25
Primary, Number, , 0.33 
Primary, Variable, , 0.33 
Primary, Open, Exper_Close, 0.33 
AddOp, plus, , 0.5
AddOp, minus, , 0.5
MulOp, multiply, , 0.5
MulOp, divide, , 0.5
Expr_Close, Expr, Close, 1.0
PowOp_Primary, PowOp, Primary, 1.0
MulOp_Factor, MulOp, Factor, 1.0
AddOp_Term, AddOp, Term, 1.0
Open, openP, , 1.0
Close, closeP, , 1.0
PowOp, powOp, , 1.0
